1200,19,-6,17
1200,18,-7,18
1200,17,-8,19
1200,17,-9,18
1200,16,-11,18
1200,19,-10,18
1200,18,-11,19
1200,19,-12,18
1200,18,-12,19
1200,21,-15,19
1200,22,-15,20
1200,26,-14,21
1200,23,-17,21
1200,22,-18,20
1200,23,-17,20
1200,23,-20,20
1200,23,-19,22
1200,22,-19,21
1200,24,-20,22
1200,23,-19,22
1200,24,-20,21
1200,24,-19,18
1200,23,-19,19
1200,21,-18,20
1200,23,-20,21
1200,23,-19,19
1200,22,-21,18
1200,19,-20,17
1200,21,-19,18
1200,21,-19,17
1200,21,-17,16
1200,19,-19,16
1200,20,-17,15
1200,18,-20,15
1200,19,-19,14
1200,17,-18,15
1200,17,-19,15
1200,18,-17,13
1200,17,-17,12
1200,17,-16,11
1200,17,-18,9
1200,18,-17,8
1200,17,-16,8
1200,16,-17,7
1200,17,-18,7
1200,16,-18,6
1200,17,-17,4
1200,20,-19,5
1200,18,-18,5
1200,20,-19,4
1200,24,-18,1
1200,23,-19,1
1200,22,-19,-2
1200,22,-20,0
1200,23,-14,-1
1200,21,-18,-1
1200,23,-16,-3
1200,14,-15,-4
1200,24,-15,-2
1200,20,-16,-3
1200,20,-14,-4
1200,20,-13,-4
1200,18,-12,-6
1200,18,-12,-5
1200,19,-10,-5
1200,17,-9,-6
1200,19,-9,-5
1200,16,-8,-8
1200,15,-7,-9
1200,16,-7,-9
1200,17,-5,-10
1200,17,-6,-13
1200,17,-2,-12
1200,18,-6,-13
1200,17,-4,-13
1200,17,-4,-14
1200,20,-4,-15
1200,20,-3,-21
1200,21,0,-15
1200,19,0,-19
1200,23,-1,-19
1200,19,-2,-19
1200,24,0,-21
1200,24,1,-21
1200,24,1,-19
1200,24,2,-19
1200,25,3,-21
1200,22,2,-20
1200,25,2,-22
1200,24,4,-21
1200,23,2,-20
1200,23,1,-19
1200,23,5,-20
1200,21,3,-19
1200,23,5,-20
1200,20,3,-20
1200,22,3,-20
1200,24,4,-21
1200,22,-2,-19
1200,20,5,-19
1200,18,5,-18
1200,17,13,-19
1200,20,14,-19
1200,20,14,-18
1200,22,16,-18
1200,21,16,-19
1200,21,16,-21
1200,23,19,-20
1200,24,20,-20
1200,22,20,-21
1200,23,17,-22
1200,24,20,-22
1200,23,20,-21
1200,23,20,-22
1200,23,20,-19
1200,24,20,-19
1200,22,20,-19
1200,23,20,-18
1200,23,20,-18
1200,24,20,-18
1200,21,20,-18
1200,21,20,-17
1200,22,20,-16
1200,21,20,-16
1200,20,19,-14
1200,20,17,-14
1200,20,19,-14
1200,19,19,-14
1200,19,18,-13
1200,18,17,-11
1200,18,18,-11
1200,17,17,-12
1200,17,16,-10
1200,18,17,-8
1200,17,17,-7
1200,17,17,-7
1200,17,17,-6
1200,18,18,-5
1200,19,17,-5
1200,17,20,-5
1200,18,17,-3
1200,21,18,-3
1200,20,21,-3
1200,20,20,-3
1200,22,20,-2
